Time,TimeMS,Clock,Pulse,Pulse_low,Pulse_high,SpO2,SpO2_low,SpO2_high,Respiratory_rate,Respiratory_rate_low,Respiratory_rate_high,BloodPressure_Sys,BloodPressure_Sys_low,BloodPressure_Sys_high,Temp,Temp_low,Temp_high,,,,,,,,,,,,,,,,,,,,,,,,,
00:09:50_940,590940,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.16,0.28449,39.3,,,2.61719,0,-60.2,,,,0,0
00:09:50_950,590950,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.155,0.29621,39.3,,,2.61719,0,-60.2,,,,0,0
00:09:50_960,590960,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.155,0.30989,39.3,,,2.61719,0,-60.2,,,,0,0
00:09:50_970,590970,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.155,0.3514,39.3,,,2.61719,0,-60.2,,,,0,0
00:09:50_980,590980,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.15,0.38217,39.3,,,2.61719,0,-60.2,,,,0,0
00:09:50_990,590990,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.145,0.41832,39.3,,,2.61719,0,-60.2,,,,0,0
00:09:51_000,591000,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.145,0.50061,39.3,,,2.62239,0,-60.2,,,,0,0
00:09:51_010,591010,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.145,0.54335,39.3,,,2.61313,0,-60.2,,,,0,0
00:09:51_020,591020,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.14,0.58462,39.3,,,2.59299,0,-60.2,,,,0,0
00:09:51_030,591030,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.135,0.62247,39.3,,,2.55677,0,-60.2,,,,0,0
00:09:51_040,591040,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.135,0.68303,39.3,,,2.53748,0,-60.2,,,,0,0
00:09:51_050,591050,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.135,0.70159,39.3,,,2.5356,0,-60.2,,,,0,0
00:09:51_060,591060,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.135,0.71331,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_070,591070,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.13,0.72161,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_080,591080,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.72527,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_090,591090,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.71917,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_100,591100,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.71062,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_110,591110,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.12,0.69915,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_120,591120,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.12,0.68571,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_130,591130,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.6547,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_140,591140,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.63761,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_150,591150,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.62027,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_160,591160,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.11,0.58852,39.3,,,2.53384,0,-60.2,,,,0,0
00:09:51_170,591170,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.11,0.57192,39.3,,,2.54466,0,-60.2,,,,0,0
00:09:51_180,591180,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.55458,39.3,,,2.56992,0,-60.2,,,,0,0
00:09:51_190,591190,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.537,39.3,,,2.58386,0,-60.2,,,,0,0
00:09:51_200,591200,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.51941,39.3,,,2.57813,0,-60.2,,,,0,0
00:09:51_210,591210,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.48474,39.3,,,2.57813,0,-60.2,,,,0,0
00:09:51_220,591220,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.09,0.46789,39.3,,,2.57813,0,-60.2,,,,0,0
00:09:51_230,591230,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.09,0.45153,39.3,,,2.57813,0,-60.2,,,,0,0
00:09:51_240,591240,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.43565,39.3,,,2.58327,0,-60.2,,,,0,0
00:09:51_250,591250,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.40806,39.3,,,2.57135,0,-60.2,,,,0,0
00:09:51_260,591260,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.39731,39.3,,,2.54875,0,-60.2,,,,0,0
00:09:51_270,591270,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.08,0.38632,39.3,,,2.53342,0,-60.2,,,,0,0
00:09:51_280,591280,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.06,0.3663,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_290,591290,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.035,0.358,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_300,591300,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.02,0.35067,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_310,591310,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.02,0.35067,39.3,,,2.53906,0,-60.2,,,,0,0
00:09:51_320,591320,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.015,0.34017,39.4,,,2.53906,0,-60.2,,,,0,0
00:09:51_330,591330,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.015,0.34017,39.4,,,2.53906,0,-60.2,,,,0,0
00:09:51_340,591340,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.02,0.33407,39.4,,,2.53996,0,-60.2,,,,0,0
00:09:51_350,591350,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.02,0.33407,39.4,,,2.53996,0,-60.2,,,,0,0
